"filename", "language", "JSON", "Log", "ShaderLab", "C#", "HLSL", "XML", "comment", "blank", "total"
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyShooter.cs", "C#", 0, 0, 0, 154, 0, 0, 0, 39, 193
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyShooter\EnemyShooterController.cs", "C#", 0, 0, 0, 176, 0, 0, 1, 51, 228
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Enemy Scripts\EnemyTargetController.cs", "C#", 0, 0, 0, 63, 0, 0, 0, 14, 77
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\CharacterHealth.cs", "C#", 0, 0, 0, 90, 0, 0, 7, 18, 115
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\CharacterMovement.cs", "C#", 0, 0, 0, 42, 0, 0, 0, 4, 46
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\PlayerShootingManager.cs", "C#", 0, 0, 0, 45, 0, 0, 0, 12, 57
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\PlayerWeaponManager.cs", "C#", 0, 0, 0, 127, 0, 0, 0, 23, 150
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\Weapon Scripts\PlayerWeaponDurabilityManager.cs", "C#", 0, 0, 0, 31, 0, 0, 0, 4, 35
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\Weapon Scripts\WeaponManager.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 3, 28
"g:\GitHub\LostAlien\My project\Assets\Scripts\Characters\Player Scripts\playerMovement.cs", "C#", 0, 0, 0, 115, 0, 0, 1, 21, 137
"g:\GitHub\LostAlien\My project\Assets\Scripts\Helper Scripts\TagManager.cs", "C#", 0, 0, 0, 32, 0, 0, 0, 15, 47
"g:\GitHub\LostAlien\My project\Assets\Scripts\Intractables\Chest\ChestScript.cs", "C#", 0, 0, 0, 53, 0, 0, 0, 14, 67
"g:\GitHub\LostAlien\My project\Assets\Scripts\Intractables\Intractable.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 6, 19
"g:\GitHub\LostAlien\My project\Assets\Scripts\UI\PlayerWeaponUI.cs", "C#", 0, 0, 0, 62, 0, 0, 1, 14, 77
"g:\GitHub\LostAlien\My project\Assets\Scripts\UI\ScriptableObjectScripts\PlayerWeaponSO.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 4, 25
"g:\GitHub\LostAlien\My project\Assets\Scripts\UI\ScriptableObjectScripts\WeaponIntractSO.cs", "C#", 0, 0, 0, 17, 0, 0, 0, 11, 28
"g:\GitHub\LostAlien\My project\Assets\TestScript.cs", "C#", 0, 0, 0, 27, 0, 0, 1, 6, 34
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "ShaderLab", 0, 0, 109, 0, 0, 0, 2, 33, 144
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "ShaderLab", 0, 0, 112, 0, 0, 0, 3, 31, 146
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "ShaderLab", 0, 0, 109, 0, 0, 0, 2, 33, 144
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "ShaderLab", 0, 0, 243, 0, 0, 0, 4, 71, 318
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "ShaderLab", 0, 0, 241, 0, 0, 0, 4, 66, 311
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "ShaderLab", 0, 0, 188, 0, 0, 0, 10, 50, 248
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "ShaderLab", 0, 0, 183, 0, 0, 0, 8, 50, 241
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "ShaderLab", 0, 0, 82, 0, 0, 0, 4, 21, 107
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 183, 0, 0, 0, 8, 50, 241
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 103, 0, 0, 0, 8, 28, 139
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 122, 0, 0, 0, 4, 33, 159
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 243, 0, 0, 0, 4, 71, 318
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 97, 0, 0, 0, 0, 20, 117
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 0, 0, 63, 0, 2, 20, 85
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 0, 0, 122, 0, 2, 34, 158
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 0, 0, 62, 0, 10, 14, 86
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 0, 0, 76, 0, 7, 19, 102
"g:\GitHub\LostAlien\My project\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", 155, 0, 0, 0, 0, 0, 0, 2, 157
"g:\GitHub\LostAlien\My project\Logs\AssetImportWorker0-prev.log", "Log", 0, 595, 0, 0, 0, 0, 0, 20, 615
"g:\GitHub\LostAlien\My project\Logs\AssetImportWorker0.log", "Log", 0, 957, 0, 0, 0, 0, 0, 30, 987
"g:\GitHub\LostAlien\My project\Logs\Packages-Update.log", "Log", 0, 47, 0, 0, 0, 0, 0, 4, 51
"g:\GitHub\LostAlien\My project\Logs\shadercompiler-AssetImportWorker0.log", "Log", 0, 2, 0, 0, 0, 0, 0, 2, 4
"g:\GitHub\LostAlien\My project\Logs\shadercompiler-UnityShaderCompiler.exe0.log", "Log", 0, 2, 0, 0, 0, 0, 0, 2, 4
"g:\GitHub\LostAlien\My project\Logs\shadercompiler-UnityShaderCompiler.exe1.log", "Log", 0, 2, 0, 0, 0, 0, 0, 2, 4
"g:\GitHub\LostAlien\My project\Logs\shadercompiler-UnityShaderCompiler.exe2.log", "Log", 0, 2, 0, 0, 0, 0, 0, 2, 4
"g:\GitHub\LostAlien\My project\Packages\manifest.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 1, 54
"g:\GitHub\LostAlien\My project\Packages\packages-lock.json", "JSON", 493, 0, 0, 0, 0, 0, 0, 1, 494
"Total", "-", 701, 1607, 2015, 2162, 323, 1674, 147, 1240, 9869
